1658515829,2022-07-22,18:50:29.169589,SFC,battery voltage 25.08V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658515889,2022-07-22,18:51:29.698125,SFC,battery voltage 25.08V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658515950,2022-07-22,18:52:30.259237,SFC,battery voltage 25.08V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658516010,2022-07-22,18:53:30.817059,SFC,battery voltage 25.08V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658516071,2022-07-22,18:54:31.378145,SFC,battery voltage 25.09V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658516131,2022-07-22,18:55:31.937036,SFC,battery voltage 25.09V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658516192,2022-07-22,18:56:32.498156,SFC,battery voltage 25.08V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658516253,2022-07-22,18:57:33.057113,SFC,battery voltage 25.09V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658516313,2022-07-22,18:58:33.617134,SFC,battery voltage 25.08V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658516374,2022-07-22,18:59:34.177085,SFC,battery voltage 25.09V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
